,AEB,VDC,ABS,TCS_Activate,HDC,EPB,cycle,engine,BrakeOverHeat,Front_angle_radar,ESP,TCS_Off,FLWheelRotated,RLWheelRotated,FRWheelRotated,RRWheelRotated,NoBrakeForce,Over_ride,GearLvl,Door,SeatBelt,Final_resule
0.0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.01,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.02,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.03,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.04,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.05,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.060000000000000005,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.07,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.08,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.09,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.09999999999999999,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.10999999999999999,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.11999999999999998,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.12999999999999998,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.13999999999999999,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.15,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.16,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.17,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.18000000000000002,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.19000000000000003,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.20000000000000004,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.21000000000000005,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.22000000000000006,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.23000000000000007,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.24000000000000007,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.25000000000000006,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.26000000000000006,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.2700000000000001,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
0.2800000000000001,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Over_ride: passive_mode
